titulo,autor,doc_type,fecha,abstract
"Proyecto Comunitario Las Acacias","Dr. Perez","Proyecto de Investigación","2023-11-01","Intervención ecológica y levantamiento poblacional en Las Acacias."
"Planos Nuevo Pabellón Biología","Arq. Mendez","Plano Arquitectónico","2024-01-15","Planos preliminares de la reconstrucción fase 1."
"Acta de Consejo de Escuela #42","Consejo Facultad","Acta","2024-03-10","Validación presupuestaria anual y asignaciones especiales."
"Convenio de Prácticas Profesionales INCES","Susana","Convenio","2023-08-20","Convenio institucional para pasantías técnicas del alumnado."
"Informe Anual de Gestión 2023","Decanato Ciencias","Informe","2024-01-10","Compendio de actividades y metas alcanzadas."
"Proyecto Robótica Estudiantil","Prof. Gonzalez","Proyecto de Investigación","2023-09-05","Implementación de robótica educativa en laboratorios."
"Acta Extraordinaria #43","Consejo Facultad","Acta","2024-04-02","Aprobación de nuevos pensum de estudio."
"Plan Regulador de Áreas Verdes","Arq. Villanueva","Plano Arquitectónico","2022-11-20","Mapa topográfico de caminerías y flora."
"Convenio Cooperación Internacional","OPSU","Convenio","2021-05-18","Transferencia tecnológica internacional."
"Desarrollo de Biopolímeros Módulo 1","Dr. Hernandez","Proyecto de Investigación","2024-02-14","Estudios de resistencia en polímeros biodegradables."
"Planos Eléctricos Edificio A","Ing. Ramirez","Plano Arquitectónico","2023-12-01","Sistema de cableado estructurado actualizado."
"Acta de Consejo de Posgrado","Consejo de Postgrado","Acta","2024-03-22","Admisión de cohorte 2024."
